valid_id,user_name,email,rate,usefulness,clarity,speed,answered,how_comfortable,assignements,improvements
aHXO04obsi,Oblivio,oblivio@gmail.com,3,5,1,3,5,2,1,"The course was fine, maybe we should be more detailed"
OBDC04AkwR,Alexandre,alex@aol.com,3,4,2,5,4,3,4,"I liked the course, not sure what could be improved"
cD049kiuOO,Wally,wally@hotmail.fr,5,4,1,4,3,2,5,"The course itself is great but the instructor needs to be better, I couldn't understand everything"
gWYX04AkwR,Koffi,koffi@gmail.com,3,4,2,5,4,3,5,"Not sure what improvements can be made, maybe hire a better instructor"
mcklsroi43,Andrea,andrea@gmail.com,5,5,5,5,4,3,5,"The course was really great, I liked everything. I don't have idea on any improvements for now"
iow76efukf,Carlos,carlos@live.ca,2,1,5,5,4,2,4,"The course materials needs to be improved, it is not well explained and the course was kinda terrible too"
78iluDdrtl,Takayuki,taka-y@gmail.com,5,5,5,5,5,5,5,Everything is perfect
mkmljRE32o,July,july_rodriguez@live.com,4,3,1,1,3,2,4,The course material and the instructor teaching skills needs to be improved a lot.
ljn65dHYdr,Pablo,pablo_escobar@yahoo.com,1,1,1,1,1,1,1,I hated this course everything was terrible and I could not understand anything. Everything is to be improved!!
IloFE1mDvZ,Nathan,natblow@hotmail.fr,5,5,4,4,3,5,5,We can improve the course a little bit.
,Soomyung,soomyungb@gmail.com,5,4,5,4,3,5,3,One more time
